relationshipType,id,type,attributes
lei-issuer,529900T8BM49AURSDO55,lei-issuers,"{""lei"":""529900T8BM49AURSDO55"",""name"":""Ubisecure Oy"",""marketingName"":""Ubisecure RapidLEI"",""website"":""https://www.rapidlei.com"",""accreditationDate"":""2018-04-03T00:00:00+00:00""}"
managing-lou,529900T8BM49AURSDO55,lei-records,"{""lei"":""529900T8BM49AURSDO55"",""entity"":{""legalName"":{""name"":""Ubisecure Oy"",""language"":""fi""},""otherNames"":[{""name"":""Ubisecure Inc"",""language"":""fi"",""type"":""TRADING_OR_OPERATING_NAME""},{""name"":""Ubisecure Ab"",""language"":""sv"",""type"":""TRADING_OR_OPERATING_NAME""},{""name"":""Ubisecure Solutions Oy"",""language"":""fi"",""type"":""PREVIOUS_LEGAL_NAME""}],""transliteratedOtherNames"":[],""legalAddress"":{""language"":""fi"",""addressLines"":[""Tekniikantie 14""],""addressNumber"":null,""addressNumberWithinBuilding"":null,""mailRouting"":null,""city"":""ESPOO"",""region"":""FI-18"",""country"":""FI"",""postalCode"":""02150""},""headquartersAddress"":{""language"":""fi"",""addressLines"":[""Tekniikantie 14""],""addressNumber"":null,""addressNumberWithinBuilding"":null,""mailRouting"":null,""city"":""ESPOO"",""region"":""FI-18"",""country"":""FI"",""postalCode"":""02150""},""registeredAt"":{""id"":""RA000188"",""other"":null},""registeredAs"":""1748721-4"",""jurisdiction"":""FI"",""category"":""GENERAL"",""legalForm"":{""id"":""DKUW"",""other"":null},""associatedEntity"":{""lei"":null,""name"":null},""status"":""ACTIVE"",""expiration"":{""date"":null,""reason"":null},""successorEntity"":{""lei"":null,""name"":null},""successorEntities"":[],""creationDate"":""2002-02-14T00:00:00Z"",""subCategory"":null,""otherAddresses"":[],""eventGroups"":[{""groupType"":""STANDALONE"",""events"":[{""validationDocuments"":""SUPPORTING_DOCUMENTS"",""effectiveDate"":""2024-06-12T00:00:00Z"",""recordedDate"":""2024-09-20T14:51:13Z"",""type"":""CHANGE_HQ_ADDRESS"",""status"":""COMPLETED""}]},{""groupType"":""STANDALONE"",""events"":[{""validationDocuments"":""SUPPORTING_DOCUMENTS"",""effectiveDate"":""2024-06-12T00:00:00Z"",""recordedDate"":""2024-09-20T14:51:13Z"",""type"":""CHANGE_LEGAL_ADDRESS"",""status"":""COMPLETED""}]}]},""registration"":{""initialRegistrationDate"":""2016-08-04T11:00:36Z"",""lastUpdateDate"":""2025-05-15T16:17:21Z"",""status"":""ISSUED"",""nextRenewalDate"":""2026-06-28T18:34:06Z"",""managingLou"":""529900T8BM49AURSDO55"",""corroborationLevel"":""FULLY_CORROBORATED"",""validatedAt"":{""id"":""RA000188"",""other"":null},""validatedAs"":""1748721-4"",""otherValidationAuthorities"":[]},""bic"":null,""mic"":null,""ocid"":""fi/1748721-4"",""qcc"":""QFIYKRB4T8"",""spglobal"":[""273599874""],""conformityFlag"":""CONFORMING""}"
field-modifications,38b101ad-ea05-45bb-9abe-5c007eaac7f4,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationAuthority/lei:ValidationAuthorityEntityID"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""305997233"",""context"":null}"
field-modifications,e0b58b04-224e-4e89-84dc-84d64eaa9fb4,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationAuthority/lei:ValidationAuthorityID"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""RA000430"",""context"":null}"
field-modifications,0e694018-c454-4630-8d06-99e4b2fd514d,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ValidationSources"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""PARTIALLY_CORROBORATED"",""context"":null}"
field-modifications,36c8083a-3618-40e0-a2db-edb5b3e2949c,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:ManagingLOU"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""529900T8BM49AURSDO55"",""context"":null}"
field-modifications,2375f1bb-5863-4788-8522-9d1d56140212,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:NextRenewalDate"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""2026-07-30T14:55:56+00:00"",""context"":null}"
field-modifications,89e93145-42de-49c8-9444-a7c0a0bf6325,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:RegistrationStatus"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""ISSUED"",""context"":null}"
field-modifications,81346d32-f616-44ae-a053-4fd5b6ea894c,field-modifications,"{""lei"":""984500581E7EBC107D36"",""recordType"":""LEI"",""modificationType"":""INITIAL"",""field"":""/lei:LEIData/lei:LEIRecords/lei:LEIRecord/lei:Registration/lei:LastUpdateDate"",""date"":""2025-07-31T00:00:00Z"",""valueOld"":null,""valueNew"":""2025-07-30T14:55:55+00:00"",""context"":null}"
